Name,Artists
White Christmas,Bing Crosby
Rock Around the Clock,Bill Haley & his Comets
My Heart Will Go On,Celine Dion
Nothing Compares 2 U,Sinead O'Connor
Hey Jude,The Beatles
(Everything I Do) I Do it For You,Bryan Adams
I Will Always Love You,Whitney Houston
Another Brick in the Wall (part 2),Pink Floyd
Flashdance... What a Feeling,Irene Cara
Candle in the Wind '97,Elton John
(I Can't Get No) Satisfaction,The Rolling Stones
Gangsta's Paradise,Coolio
Lose Yourself,Eminem
Believe,Cher
Yeah!,Usher
Let it Be,The Beatles
A Whiter Shade of Pale,Procol Harum
Stayin' Alive,Bee Gees
Bleeding Love,Leona Lewis
Every Breath You Take,The Police
Bette Davis Eyes,Kim Carnes
Umbrella,Rihanna & Jay-Z
My Sweet Lord,George Harrison
Dancing Queen,Abba
I'll Be Missing You,P Diddy & Faith Evans
Baby One More Time,Britney Spears
I Want to Hold Your Hand,The Beatles
Billie Jean,Michael Jackson
Mack the Knife,Bobby Darin
You're the One That I Want,John Travolta & Olivia Newton-John
We Are the World,USA For Africa
Mmmbop,Hanson
Vogue,Madonna
Wannabe,Spice Girls
"Oh, Pretty Woman",Roy Orbison
Without Me,Eminem
YMCA,The Village People
I Just Called to Say I Love You,Stevie Wonder
Careless Whisper,George Michael
Imagine,John Lennon
Eye of the Tiger,Survivor
Macarena,Los Del Rio
Are You Lonesome Tonight?,Elvis Presley
Can't Help Falling in Love,UB40
Hey Ya!,OutKast
Bohemian Rhapsody,Queen
A Woman in Love,Barbra Streisand
I Kissed A Girl,Katy Perry
Over the Rainbow,Judy Garland
It's Now Or Never,Elvis Presley
Don't Speak,No Doubt
Hips don't lie,Shakira & Wyclef Jean
In Da Club,50 Cent
Can't Get You Out of My Head,Kylie Minogue
Where is the Love?,The Black Eyed Peas
Angie,The Rolling Stones
In the Summertime,Mungo Jerry
(Ghost) Riders in the Sky,Vaughn Monroe
Poker Face,Lady GaGa
The Sign,Ace of Base
Kung Fu Fighting,Carl Douglas
Sexyback,Justin Timberlake
Hung Up,Madonna
Jailhouse Rock,Elvis Presley
Help!,The Beatles
I Love Rock 'n' Roll,Joan Jett & The Blackhearts
Livin' La Vida Loca,Ricky Martin
I'm a Believer,The Monkees
"Whenever, Wherever",Shakira
We Found Love,Rihanna & Calvin Harris
Strangers in the Night,Frank Sinatra
Streets of Philadelphia,Bruce Springsteen
Unchained Melody,The Righteous Brothers
I Swear,All-4-One
In the Mood,Glenn Miller
Mambo No 5 (A Little Bit of ...),Lou Bega
Que sera sera (Whatever will be will be),Doris Day
Low,Flo-Rida & T-Pain
Mona Lisa,Nat King Cole
Seasons in the Sun,Terry Jacks
Karma Chameleon,Culture Club
I Don't Want to Miss a Thing,Aerosmith
Heart of Glass,Blondie
End of the Road,Boyz II Men
Killing Me Softly With His Song,The Fugees
Tie a Yellow Ribbon 'round the Old Oak Tree,Tony Orlando & Dawn
Big Girls Don't Cry,Fergie
Venus,Shocking Blue
Hotel California,Eagles
Swinging On a Star,Bing Crosby
All You Need is Love,The Beatles
The Twist,Chubby Checker
Dilemma,Nelly & Kelly Rowland
She Loves You,The Beatles
Crazy in Love,Beyonce
I Gotta Feeling,The Black Eyed Peas
(Just Like) Starting Over,John Lennon
Do You Really Want to Hurt Me?,Culture Club
The Boy is Mine,Brandy & Monica
Like a Prayer,Madonna
